Sample;UsutuV.f.54;JEVG.Ig-aroa.ja.41;JE.2.j.38;f.90;SLEV.jj.51;Deng.2.w2.31;0,1M NaPP Standard pH 9;YFV.f.66;NoVertHost.f.69;aroa.JEVG.Ig.f.44-39;UsutuV.j.55;f.43-16;Deng.f.17;Edge_Hill.YFVG.j.60;WNV.2.w2.13;YFV.f.65;YFV.f.64;NoVertHost.0.f.73;RioBrVG.0.ja.85;TBV.f.58;Deng.4.w2.19;TBV.f.57;TBV.f.56;WNV.1b.f.10;TBVG.f.80-77;SeaBTB.ja.72;WNV.2.f.8;f.92;f.91;TBVG.f2.77;f.97;f.96;f.95;f.94;f.93;f.99;f.98;MVEV.JEVG.MV.ja.48;YFV.3.f.68-67;JEVG.Ig.f.39;SLEV.jj.52;JEVG.Ig-aroa.ja.40;Deng.4.f3.18;RioBrVG.ja.74;Deng.3.f.32;WNV.f.1;WNV.1a.f.7;YFVG.f2.62-61;MVEV.JEVG.MV.j.49;WNV.f.9;JE.jj.36;MosqFlav.3.f.71-70;Deng.1.f3.29;Meaban.ja.83;PowVG.f.81;JEVG.Ig.f.42;Edge_Hill.YFVG.j.59;WNV.2.w2.14;Biotin-Marke_2,5??M;WNV.2.f2.12;JEVG.Zi.f.45;JE.jj.35;JE.j.33;RioBrVG.1.f2.84;SLEV.ja.50;JE.j.34;JEVG.Nt.ja.53;Tyuleniy.f.83;WNV.1a.f.11;TBVG.f.76;YFVG.ja.63-61;YFVG.f.61;fw.23;MosqFlav.f.70;JEVG.Zi.f.46-45;JE.jj.37;TBVG.f2.78;f.86;f.87;f.88;JEVG.MV.f.47;RioBrVG.f.75-75;YFV.1.ja.67;TBVG.f.79-77;Deng.1.f3.30
AVR.x316C06.x318G01;-0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;-0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,11;0,00;0,03;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00
MosqP-M1008.Cat.x316C01.x318A01;0,00;0,02;0,00;0,00;0,01;0,00;0,00;0,04;0,00;0,00;0,00;0,14;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,01;0,00;0,02;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,02;0,00;0,01;0,00;-0,01;0,68;0,62;0,00;0,01;0,65;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;1,15;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,83;0,00;0,01;0,00;0,09;0,00;0,04;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;-0,01;0,00
MosqP-M1122.Cat.x316C04.x318B01;0,00;0,01;0,00;0,01;0,00;0,01;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,00;-0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,02;0,01;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;-0,01;0,00;0,00;0,01;0,04;0,03;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;-0,01;0,00;0,00;0,01;0,00;0,00;0,10;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,01
MosqP-M910.Cat.x316A04.x318C01;0,01;0,01;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,07;0,00;0,03;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
NTC.x316H12.x318G01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,04;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
SLEFV-7.x311E03.x318D01;0,00;0,00;0,00;0,01;0,51;0,01;-0,01;0,01;0,00;0,00;-0,01;0,05;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,00;0,11;0,03;0,00;0,00;0,01;0,00;0,08;0,01;0,00;0,00;0,26;0,01;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;1,70;0,00;0,00;0,00;0,00;0,01;0,96;0,00;0,00;0,00;0,00;0,00;-0,01;-0,01;0,19;0,00;0,04;0,01;0,00;0,00;0,01;0,00;0,13;0,00;0,00;0,00;0,00
WNV.NY-4.x316G12.x318G01;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,54;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,24;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,02;0,01;0,02;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,91;0,95;0,04;0,00;0,94;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,02;0,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,98;0,00;0,00;0,00;0,10;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00
H2O.x321H02.x322H02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,05;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
JEV.23.3x10-4.x321B02.x322B02;0,00;0,00;0,01;0,01;0,00;0,00;-0,02;0,00;0,02;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,01;0,00;0,01;0,02;0,01;0,01;0,00;0,00;0,00;-0,01;0,00;0,00;0,01;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,01;0,00;0,01;-0,01;0,00;1,00;0,00;0,01;0,01;0,00;0,01;0,00;0,00;0,02;0,01;0,00;0,00;0,04;0,00;0,02;0,00;0,01;-0,01;0,00;0,01;0,01;0,00;0,02;0,01;0,01;0,02;0,02
JEV.25.5x10-4.x321A02.x322A02;0,00;0,00;0,00;0,00;0,00;0,00;-0,01;0,01;0,00;0,00;0,00;0,00;-0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,00;-0,01;0,00;1,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,03;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;-0,01
LoiLL.27.7x10-4.x321A01.x322A01;0,01;0,00;0,00;0,17;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,08;0,00;0,01;0,00;0,00;0,18;0,01;0,75;0,00;0,16;0,64;0,03;0,95;0,00;0,01;0,94;0,01;0,03;0,88;0,19;0,34;0,05;0,02;0,52;0,02;0,00;0,01;0,01;0,01;0,00;0,01;0,00;0,02;0,00;0,00;0,06;0,00;0,03;0,01;0,00;0,01;0,00;0,81;-0,01;0,00;0,00;0,99;0,01;0,62;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,43;0,01;0,91;0,06;0,00;0,08;0,00;0,00;0,79;0,67;0,06;0,01;0,43;0,00;0,86;0,01
LoiLL.28.8x10-2.x321H01.x322H01;0,00;0,00;0,00;0,27;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,11;0,00;0,00;0,00;0,00;0,27;0,01;0,78;0,00;0,22;0,69;0,03;0,97;0,00;0,01;0,91;0,01;0,02;0,87;0,23;0,43;0,07;0,02;0,65;0,01;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,02;0,01;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,88;0,01;0,00;0,00;0,94;0,00;0,72;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,01;0,50;0,00;0,91;0,07;0,01;0,10;0,02;-0,01;0,85;0,71;0,11;0,01;0,66;0,00;0,88;0,00
MVV.15.14x10-3.x321E01.x322E01;0,07;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,86;0,11;0,03;0,75;0,01;0,00;0,01;0,00;0,00;0,02;0,00;0,01;0,17;0,01;0,00;0,96;0,49;0,02;0,00;0,04;0,63;0,93;0,95;0,08;0,09;0,85;0,71;0,01;0,00;0,02;0,00;0,01;0,03;0,17;0,06;0,07;0,01;0,95;0,68;0,02;0,03;0,00;0,00;0,05;0,00;0,00;0,46;0,95;0,03;0,70;0,00;0,00;0,00;0,01;0,02;0,00;0,03;0,07;0,01;0,00;0,67;0,06;0,02;0,40;0,00;0,01;0,86;0,43;0,00;0,68;0,16;0,00;0,00;0,00
SLEV.29.7x10-3.x321G01.x322G01;0,04;0,02;0,00;0,00;0,98;0,02;0,01;0,00;0,00;0,00;0,00;0,06;0,05;0,01;0,00;0,00;0,01;0,01;0,00;0,00;0,01;0,01;0,02;0,00;0,00;0,04;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,47;0,00;0,00;0,00;0,00;-0,01;0,45;0,00;0,00;0,00;0,79;0,01;0,02;0,00;0,00;0,16;0,00;0,00;0,00;0,00;0,02;0,00;0,01;0,00;1,22;0,01;0,01;0,00;0,00;0,00;0,78;0,00;0,00;0,08;0,01;0,01;0,01;0,00;0,07;0,00;0,04;0,00;0,00;0,01;0,00;0,02;0,19;0,00;0,00;0,00;0,00
TBEV.39.10-4.x321F01.x322F01;0,01;0,00;0,00;0,87;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,41;0,00;0,01;0,03;0,00;0,01;0,01;0,74;0,01;0,16;0,74;0,02;0,12;-0,01;0,00;0,79;0,26;0,00;0,10;0,01;0,22;0,02;0,99;0,03;0,00;0,00;0,04;0,02;0,01;0,00;0,01;0,00;0,01;0,10;0,02;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,03;0,02;0,00;0,00;0,97;0,00;0,31;0,03;0,00;0,03;0,00;0,00;0,03;0,94;0,00;0,00;0,00;0,03;0,06;0,00;0,03;0,00;0,00;0,41;0,29;0,01;0,00;0,26;0,00;0,00;0,03
Usutu.33.1x10-2.x321C02.x322C02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,01;1,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,04;0,00;0,02;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,00
Usutu.36x10-2.x321D02.x322D02;0,98;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,18;0,91;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,04;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,01;0,01;0,00;0,00;0,03;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,97;0,06;0,01;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,05;0,00;0,03;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
WNV.6.2x10-2.x321E02.x322E02;0,24;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,88;0,00;0,02;0,01;0,00;0,00;0,00;0,01;0,01;0,03;0,01;0,01;0,98;0,11;0,00;0,00;0,04;0,77;0,84;0,94;0,01;0,15;0,94;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,13;0,13;0,00;0,00;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,70;0,92;0,04;0,26;0,00;0,01;0,00;0,01;-0,02;0,01;0,10;0,25;0,00;0,00;0,87;0,05;0,00;0,55;0,00;0,01;0,35;0,16;0,01;0,00;0,06;0,01;0,00;0,00
WNV.9-10.10-2.x321F02.x322F02;0,11;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,97;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,21;0,00;0,00;0,00;0,00;0,03;0,01;0,02;0,00;0,00;0,07;0,01;0,01;0,00;0,00;0,03;0,00;0,00;0,00;0,49;0,78;0,00;0,00;0,44;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,02;0,95;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,98;0,01;0,01;0,00;0,05;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,00
WNV.9.1x10-3.x321D01.x322D01;0,22;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,98;0,00;0,01;0,03;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,01;0,33;0,02;0,00;0,00;0,00;0,07;0,01;0,04;0,00;0,00;0,14;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,63;0,84;0,01;0,00;0,40;0,03;0,01;0,00;0,01;0,02;0,00;0,00;0,04;1,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,97;0,01;0,00;0,01;0,05;0,00;0,04;0,00;0,00;0,01;0,02;0,00;0,01;0,00;0,00;0,01;0,00
WNV.NY.1x10-3.x321G02.x322G02;0,00;0,01;0,00;0,06;0,01;0,00;0,00;0,00;0,00;0,00;0,02;0,56;0,00;0,01;0,01;0,01;0,00;0,00;0,00;0,03;0,00;0,00;0,04;0,00;0,06;0,01;0,16;0,11;0,00;0,01;0,02;0,03;0,02;0,02;0,33;0,00;0,04;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,92;0,97;0,04;0,02;0,96;0,47;0,00;0,03;0,00;0,04;0,00;0,00;0,02;0,96;0,00;0,01;0,04;0,27;0,00;0,00;0,26;0,00;0,13;0,97;0,00;0,00;0,04;0,06;0,00;0,02;0,62;0,01;0,02;0,02;0,00;0,01;0,01;0,00;0,04;0,00
YFV.1x10-2.x321B01.x322B01;0,02;0,00;0,00;0,03;0,00;0,00;0,00;0,06;0,00;-0,01;0,02;0,00;0,20;0,00;0,00;0,94;0,97;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,03;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,03;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,00;0,01;0,95;-0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,01;0,00;0,00;0,06;0,00;0,04;0,02;0,03;0,00;0,00;0,01;0,00;0,00;0,80;0,00;0,01
YFV.22.2x10-2.x321C01.x322C01;0,00;0,00;0,00;0,02;0,01;0,00;0,00;0,07;0,00;0,00;0,02;0,00;0,18;0,00;0,01;0,97;0,98;0,00;0,00;0,00;0,00;0,03;0,01;0,02;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,02;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,03;0,01;0,98;0,00;0,01;0,01;0,00;0,00;0,01;0,00;-0,01;0,00;0,03;0,01;0,03;0,00;0,06;-0,01;0,04;0,00;0,02;0,02;0,00;0,02;0,00;0,01;0,80;0,00;0,01
